,Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,North Node,True Node,Chiron,Ascendant,MC,Descendant,IC,Lilith,Ceres,Pallas,Juno,Vesta
0,1989-01-01 06:00:00,Capricorn,Libra,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
1,1989-01-01 12:00:00,Capricorn,Libra,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
2,1989-01-01 18:00:00,Capricorn,Libra,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
3,1989-01-01 23:00:00,Capricorn,Scorpio,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
4,1989-01-02 06:00:00,Capricorn,Scorpio,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
5,1989-01-02 12:00:00,Capricorn,Scorpio,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
6,1989-01-02 18:00:00,Capricorn,Scorpio,Capricorn,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
7,1989-01-02 23:00:00,Capricorn,Scorpio,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
8,1989-01-03 06:00:00,Capricorn,Scorpio,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
9,1989-01-03 12:00:00,Capricorn,Scorpio,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
10,1989-01-03 18:00:00,Capricorn,Scorpio,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
11,1989-01-03 23:00:00,Capricorn,Scorpio,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
12,1989-01-04 06:00:00,Capricorn,Scorpio,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
13,1989-01-04 12:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
14,1989-01-04 18:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
15,1989-01-04 23:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
16,1989-01-05 06:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
17,1989-01-05 12:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
18,1989-01-05 18:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
19,1989-01-05 23:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
20,1989-01-06 06:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
21,1989-01-06 12:00:00,Capricorn,Sagittarius,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Taurus,Capricorn,Scorpio,Cancer,Virgo,Pisces,Aquarius,Virgo,Scorpio
22,1989-01-06 18:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Aries,Aquarius,Libra,Virgo,Pisces,Aquarius,Virgo,Scorpio
23,1989-01-06 23:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Pisces,Aquarius,Virgo,Scorpio
24,1989-01-07 06:00:00,Capricorn,Capricorn,Aquarius,Sagittarius,Aries,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Sagittarius,Libra,Gemini,Aries,Virgo,Pisces,Aquarius,Virgo,Scorpio
